Thomas S. Huang , Xiang Sean Zhou
Brendan J. Frey , Trausti T. Kristjansson
Brendan J. Frey , Li Deng
Alex Acero , Brendan J. Frey
Li Deng , Trausti T. Kristjansson
Alex Acero , Trausti T. Kristjansson
Alex Acero , Li Deng
John R. Hershey , Michael Casey
Andreas Ziehe , Frank C. Meinecke
Frank C. Meinecke , Motoaki Kawanabe
Frank C. Meinecke , Klaus-Robert M&uuml;ller
Andreas Ziehe , Motoaki Kawanabe
Andreas Ziehe , Klaus-Robert M&uuml;ller
Klaus-Robert M&uuml;ller , Motoaki Kawanabe
P. Green , S. Parveen
Mark J. F. Gales , N. Smith
K. Yao , S. Nakamura
Guy J. Brown , Stuart N. Wrigley
Alan L. Yuille , James M. Coughlan
Bernd Heisele , Thomas Serre
Bernd Heisele , Massimiliano Pontil
Bernd Heisele , Thomas Vetter
Bernd Heisele , Tomaso Poggio
Massimiliano Pontil , Thomas Serre
Thomas Serre , Thomas Vetter
Thomas Serre , Tomaso Poggio
Massimiliano Pontil , Thomas Vetter
Massimiliano Pontil , Tomaso Poggio
Thomas Vetter , Tomaso Poggio
Jochen Braun , Laurent Itti
Christof Koch , Laurent Itti
Christof Koch , Jochen Braun
Marzia Polito , Pietro Perona
R&oacute;mer Rosales , Stan Sclaroff
Fabio Solari , Silvio P. Sabatini
G. Andreani , Silvio P. Sabatini
C. Bartolozzi , Silvio P. Sabatini
Giacomo M. Bisio , Silvio P. Sabatini
Fabio Solari , G. Andreani
C. Bartolozzi , Fabio Solari
Fabio Solari , Giacomo M. Bisio
C. Bartolozzi , G. Andreani
G. Andreani , Giacomo M. Bisio
C. Bartolozzi , Giacomo M. Bisio
Javid Sadr , Sayan Mukherjee
Javid Sadr , K. Thoresz
Javid Sadr , Pawan Sinha
K. Thoresz , Sayan Mukherjee
Pawan Sinha , Sayan Mukherjee
K. Thoresz , Pawan Sinha
Luis Goncalves , Yang Song
Pietro Perona , Yang Song
Luis Goncalves , Pietro Perona
Chris Stauffer , Erik G. Miller
Chris Stauffer , Kinh Tieu
Erik G. Miller , Kinh Tieu
Michael J. Jones , Paul A. Viola
John W. Zweck , Lance R. Williams
Jianbo Shi , Stella X. Yu
Igor V. Cadez , Paul S. Bradley
Igor V. Cadez , Padhraic Smyth
Ali Taylan Cemgil , Bert Kappen
Nicolas Chapados , Yoshua Bengio
Nicolas Chapados , Pascal Vincent
Joumana Ghosn , Nicolas Chapados
Charles Dugas , Nicolas Chapados
Ichiro Takeuchi , Nicolas Chapados
Linyan Meng , Nicolas Chapados
Pascal Vincent , Yoshua Bengio
Joumana Ghosn , Yoshua Bengio
Charles Dugas , Yoshua Bengio
Ichiro Takeuchi , Yoshua Bengio
Linyan Meng , Yoshua Bengio
Joumana Ghosn , Pascal Vincent
Charles Dugas , Pascal Vincent
Ichiro Takeuchi , Pascal Vincent
Linyan Meng , Pascal Vincent
Charles Dugas , Joumana Ghosn
Ichiro Takeuchi , Joumana Ghosn
Joumana Ghosn , Linyan Meng
Charles Dugas , Ichiro Takeuchi
Charles Dugas , Linyan Meng
Ichiro Takeuchi , Linyan Meng
Joshua B. Tenenbaum , Thomas L. Griffiths
Charles Lee Isbell Jr. , Christian R. Shelton
Charles Lee Isbell Jr. , Michael J. Kearns
Charles Lee Isbell Jr. , Satinder P. Singh
Charles Lee Isbell Jr. , Peter Stone
Christian R. Shelton , Michael J. Kearns
Christian R. Shelton , Satinder P. Singh
Christian R. Shelton , Peter Stone
Michael J. Kearns , Satinder P. Singh
Michael J. Kearns , Peter Stone
Peter Stone , Satinder P. Singh
Antony I. T. Rowstron , Neil D. Lawrence
Christopher M. Bishop , Neil D. Lawrence
M. J. Taylor , Neil D. Lawrence
Antony I. T. Rowstron , Christopher M. Bishop
Antony I. T. Rowstron , M. J. Taylor
Christopher M. Bishop , M. J. Taylor
Michael C. Mozer , Robert H. Dodier
Michael C. Mozer , Michael D. Colagrosso
Cesar Guerra-Salcedo , Michael C. Mozer
Michael C. Mozer , Richard H. Wolniewicz
Michael D. Colagrosso , Robert H. Dodier
Cesar Guerra-Salcedo , Robert H. Dodier
Richard H. Wolniewicz , Robert H. Dodier
Cesar Guerra-Salcedo , Michael D. Colagrosso
Michael D. Colagrosso , Richard H. Wolniewicz
Cesar Guerra-Salcedo , Richard H. Wolniewicz
Helge Ritter , J&ouml;rg Ontrup
Christopher J. C. Burges , John C. Platt
John C. Platt , S. Swenson
C. Weare , John C. Platt
A. Zheng , John C. Platt
Christopher J. C. Burges , S. Swenson
C. Weare , Christopher J. C. Burges
A. Zheng , Christopher J. C. Burges
C. Weare , S. Swenson
A. Zheng , S. Swenson
A. Zheng , C. Weare
Matthew Richardson , Pedro Domingos
Gunnar R&auml;tsch , Manfred K. Warmuth
Manfred K. Warmuth , Michael Mathieson
Jun Liao , Manfred K. Warmuth
Christian Lemmen , Manfred K. Warmuth
Gunnar R&auml;tsch , Michael Mathieson
Gunnar R&auml;tsch , Jun Liao
Christian Lemmen , Gunnar R&auml;tsch
Jun Liao , Michael Mathieson
Christian Lemmen , Michael Mathieson
Christian Lemmen , Jun Liao
Hans-Georg Zimmermann , Ralph Neuneier
Hans-Georg Zimmermann , Ralph Grothmann
Ralph Grothmann , Ralph Neuneier
Leslie Pack Kaelbling , Yu-Han Chang
Thomas G. Dietterich , Xin Wang
Eyal Even-Dar , Yishay Mansour
Evan Greensmith , Peter L. Bartlett
Evan Greensmith , Jonathan Baxter
Jonathan Baxter , Peter L. Bartlett
Gregory Z. Grudic , Lyle H. Ungar
Carlos Guestrin , Daphne Koller
Carlos Guestrin , Ronald Parr
Daphne Koller , Ronald Parr
Maxim Likhachev , Sven Koenig
Michail G. Lagoudakis , Ronald Parr
Michael L. Littman , Richard S. Sutton
Michael L. Littman , Satinder P. Singh
Richard S. Sutton , Satinder P. Singh
Nahum Shimkin , Shie Mannor
Dale Schuurmans , Relu Patrascu
Thomas G. Dietterich , Xin Wang
