Anthony D. Worrall , Arthur E. C. Pece
Christina S. Leslie , Eleazar Eskin
Christina S. Leslie , Jason Weston
Christina S. Leslie , William Stafford Noble
Eleazar Eskin , Jason Weston
Eleazar Eskin , William Stafford Noble
Jason Weston , William Stafford Noble
Jean-Philippe Vert , Minoru Kanehisa
Nando de Freitas , Rub&eacute;n Morales-Men&eacute;ndez
David Poole , Rub&eacute;n Morales-Men&eacute;ndez
David Poole , Nando de Freitas
David M. Pennock , Dmitry Pavlov
Gianluca Pollastri , Pierre Baldi
Alessandro Vullo , Gianluca Pollastri
Gianluca Pollastri , Paolo Frasconi
Alessandro Vullo , Pierre Baldi
Paolo Frasconi , Pierre Baldi
Alessandro Vullo , Paolo Frasconi
Chen Yanover , Yair Weiss
Manfred K. Warmuth , Robert B. Gramacy
Robert B. Gramacy , Scott A. Brandt
Ismail Ari , Robert B. Gramacy
Manfred K. Warmuth , Scott A. Brandt
Ismail Ari , Manfred K. Warmuth
Ismail Ari , Scott A. Brandt
Alexei Vinokourov , John Shawe-Taylor
Alexei Vinokourov , Nello Cristianini
John Shawe-Taylor , Nello Cristianini
Eric P. Xing , Michael I. Jordan
Eric P. Xing , Richard M. Karp
Eric P. Xing , Stuart J. Russell
Michael I. Jordan , Richard M. Karp
Michael I. Jordan , Stuart J. Russell
Richard M. Karp , Stuart J. Russell
Igor V. Cadez , Sergey Kirshner
Padhraic Smyth , Sergey Kirshner
Chandrika Kamath , Sergey Kirshner
Igor V. Cadez , Padhraic Smyth
Chandrika Kamath , Igor V. Cadez
Chandrika Kamath , Padhraic Smyth
Eric Brochu , Nando de Freitas
Matthew G. Snover , Michael R. Brent
Auke Jan Ijspeert , Jun Nakanishi
Auke Jan Ijspeert , Stefan Schaal
Jun Nakanishi , Stefan Schaal
Bernd Porr , Florentin W&ouml;rg&ouml;tter
Christopher G. Atkeson , Jun Morimoto
Craig Boutilier , Pascal Poupart
Maxim Likhachev , Sven Koenig
Tuomas Sandholm , Xiaofeng Wang
Artur Merke , Ralf Schoknecht
Benjamin Van Roy , Daniela Pucci de Farias
Doina Precup , Theodore J. Perkins
Moshe Tennenholtz , Ronen I. Brafman
Christopher G. Atkeson , Jun Morimoto
Khashayar Rohanimanesh , Sridhar Mahadevan
Michail G. Lagoudakis , Ronald Parr
Geoffrey J. Gordon , Nicholas Roy
